sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707429600000,22196,568,1499.2,2.4000000000000004,402.40000000000003,4388.8,27343.2,19.200000000000003,335.20000000000005,20.8,208,420,15.200000000000001,0,1445.6000000000001,427.20000000000005,8,8,7203.200000000001,234.4,29296,565.6,16,512.8000000000001,4,5686.400000000001,8,6744,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6,13641.6,5593.6
1707433200000,146.4,661.6,1945.6000000000001,2.4000000000000004,453.6,960,12.8,19.200000000000003,16.8,20.8,3.2,8,,,548,384,8,8,5818.400000000001,342.40000000000003,17890.4,298.40000000000003,16,787.2,4,5484,8,8272.800000000001,1.6,1.6,2.4000000000000004,1.6,1.6,3432.8,3574.4
1707436800000,,1092.8,2632.8,2.4000000000000004,876.8000000000001,10336,65.60000000000001,19.200000000000003,41.6,20.8,3.2,8,,,989.6,384,8,8,37335.200000000004,2718.4,11059.2,5817.6,1446.4,4648.8,4,8,8,4068,2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,1.6,53201.600000000006,5227.200000000001
1707440400000,,239.20000000000002,302.40000000000003,2.4000000000000004,235.20000000000002,246.4,12.8,19.200000000000003,8,20.8,,417.6,,,8,384,,,38.400000000000006,3.2,112,48,16,48,4,,,6498.400000000001,1.6,1.6,2.4000000000000004,,,8,96
1707444000000,,236,258.40000000000003,2.4000000000000004,235.20000000000002,235.20000000000002,12.8,19.200000000000003,,20.8,,,,,,384,,,19.200000000000003,,,,,,,,,19.200000000000003,,,2.4000000000000004,,,,96
1707447600000,,236.8,256.8,0,235.20000000000002,235.20000000000002,8.8,,,,,,,,,384,,,,,,,,,,,,,,,2.4000000000000004,,,,
1707451200000,,236,257.6,,237.60000000000002,235.20000000000002,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,
1707454800000,,235.20000000000002,256,,234.4,234.4,3.2,19.200000000000003,13.600000000000001,20.8,4.800000000000001,,,,,,,,19.200000000000003,6107.200000000001,5502.400000000001,6128.8,9005.6,7636,6714.400000000001,,,19.200000000000003,,,,1.6,1.6,,
1707458400000,,235.20000000000002,256.8,,234.4,239.20000000000002,3.2,19.200000000000003,16,20.8,4.800000000000001,,,,,,,,125.60000000000001,3.2,112,48,16.8,48.800000000000004,6.4,,,138.4,,,,1.6,1.6,,
1707462000000,,236,257.6,,235.20000000000002,497.6,11.200000000000001,19.200000000000003,16,20.8,4.800000000000001,,,,,,,,20,3.2,1743.2,48.800000000000004,16,48,6.4,,,97.60000000000001,,,,1.6,1.6,,96
